"Reference","Value","Footprint","QUANTITY"
"C1,C2,C7-C10,C15,C16","100p C0G","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","8"
"C3-C6,C17-C20","10u NP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","8"
"C11","47u low-ESR","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1"
"C12,C13","100u 25V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2"
"C14,C40-C43","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","5"
"C21-C36","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","16"
"FB1","600R@100MHz 1A","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC","1"
"J1-J4","NRJ6HF","Connector_Audio:Jack_6.35mm_Neutrik_NRJ6HF_Horizontal","4"
"L1,L2","10uH 300mA","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC","2"
"LED1","MIDI act","LED_THT:LED_D3.0mm","1"
"PS1","TMR 3-0523","GhostFader:TRACO_TMR3_SIP8","1"
"R1,R14","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2"
"R2-R9,R15","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","9"
"R10-R13","10R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4"
"R16","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"SW1","MIDI channel","Button_Switch_THT:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile","1"
"U1,U2","THAT1246S08","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2"
"U3,U4","PGA2310PA","Package_DIP:DIP-16_W7.62mm","2"
"U5","OPA2134PA","Package_DIP:DIP-8_W7.62mm","1"
"U6,U7","THAT1646S08","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2"
"U9","Teensy 4.0","GhostFader:Teensy40_Edge","1"
